きょとん	13	865	59
きょろきょろ	5	213	82
きらきら	438	4625	352
きらず	4	22	1
きらめく	149	1915	91
きらり	468	506	69
きり	5000	14273	45
きりきり	28	339	27
ぎくしゃく	121	850	70
ぎこちない	25	715	94
ぎざぎざ	62	1066	60
ぎすぎす	6	98	18
ぎっくり腰	59	1409	43
ぎっしり	130	2191	104
ぎゃあ	21	132	212
ぎゃふん	5	50	11
ぎゅうぎゅう	12	303	42
ぎょっと	13	677	83
ぎょろぎょろ	1	39	4
ぎらぎら	21	603	63
ぎらり	2	61	14
ぎりぎり	807	508	592
ぎろぎろ	1	4	1
くい	1518	11338	3
くぐもる	1	195	28
くさくさ	1	15	2
くさや	90	191	13
くしゃくしゃ	23	496	56
くすくす	33	854	66
くすねる	17	118	16
くすむ	4	2356	68
くそ	301	1432	177
くたくた	21	987	78
くたばる	6	256	18
くだくだしい	2	23	2
くちい	40	307	2
くちゃくちゃ	4	103	13
くっきり	226	3359	172
くどい	45	2200	82
くどくど	16	525	23
くねくね	44	814	66
くねる	10	493	55
くゆらす	6	73	6
くゆらせる	2	145	2
くよくよ	40	219	52
くらくら	15	35	69
くりくり	29	38	35
くる	38972	4719	38
くるくる	296	2940	216
くるり	505	815	78
ぐいぐい	23	1540	70
ぐい飲み	2	154	7
ぐうたら	66	346	40
ぐさり	13	61	6
ぐしゃぐしゃ	3	91	25
ぐじゅぐじゅ	1	17	4
ぐずぐず	47	819	104
ぐちゃぐちゃ	22	555	105
ぐっしょり	2	143	12
ぐっすり	39	2581	157
ぐったり	67	1170	158
ぐつぐつ	6	318	37
ぐにゃぐにゃ	20	31	21
ぐびぐび	1	58	9
ぐらぐら	25	968	59
ぐらつく	32	734	31
ぐらり	2	110	16
ぐりぐり	11	112	45
ぐる	831	4365	165
ぐるぐる	435	5223	296
ぐるみ	2482	3659	90
ぐるり	328	55	89
ぐんぐん	61	2384	85
ぐんと	83	2649	92
け	11514	17082	75
けしからん	79	1124	35
けじめ	164	1831	84
けたたましい	47	502	44
けち	400	3950	183
けちょんけちょん	2	54	7
けちん坊	3	36	3
けったい	16	156	8
けばけばしい	56	188	17
けり	525	483	59
けれど	1155	11011	1755
けろけろ	9	40	9
けんもほろろ	23	80	3
げそ	20	17	22
げっそり	11	120	11
げっぷ	38	912	62
げらげら	18	385	42
げろ	103	616	43
げんなり	12	91	30
げんまん	19	18	7
こう	47774	160125	13095
こく	11582	844	173
こけし	409	506	25
こげん	19	31	3
こざっぱり	14	1	8
こじつける	8	1235	15
こじる	12	459	20
こせこせ	2	13	3
こそ	20080	170566	11
こそこそ	48	971	61
こそばゆい	8	111	5
こだわり	2661	19885	419
こだわる	698	40451	769
こちこち	1	170	16
こちょこちょ	2	65	9
こっくり	28	63	38
こっそり	884	5931	377
こってり	74	683	96
こつこつ	69	6637	167
こてこて	8	393	19
こてんこてん	8	1	2
こと	2183142	9542483	1
こめかみ	184	1174	68
こら	222	1177	220
こりこり	8	501	55
これみよがし	12	381	26
ころ	20821	68340	30
ころころ	120	2983	160
ころり	45	303	20
こんがり	35	552	60
こんこん	52	824	45
こんな	3734	1800	11837
こんもり	37	621	44
ごい	258	765	1
ごきぶり	36	2601	172
ごく	13437	40165	6
ごくごく	91	2339	21
ごしごし	4	1071	82
ごそごそ	1	102	69
ごたごた	56	114	75
ごたまぜ	9	16	1
ごちゃごちゃ	41	375	119
ごっこ	763	2368	75
ごっそり	51	694	39
ごった煮	43	135	3
ごった返す	40	981	62
ごっちゃ	45	853	20
ごつい	23	539	88
ごつごつ	96	441	50
ごてごて	8	12	26
ごてる	1	350	1
ごと	48092	118694	391
ごね得	3	32	2
ごまかし	338	1952	45
ごまかす	203	6462	267
ごまめ	13	79	7
ごみごみ	12	18	2
ごり押し	34	564	16
ごろ	22889	25733	24
